Código;Nome do cargo na Pesquisa;Cargos Similares;Missão do Cargo;;;;;;;;;;;;;;;;;;;
203;Almoxarife;;Receber, estocar, distribuir, registrar e inventariar materiais e mercadorias compradas, observando normas e instruções, a fim de manter o almoxarifado organizado, e em perfeitas condições. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
13;Analista Administrativo;"Analista Administrativo de Serviços; Analista Administrativo-Financeiro; Analista de Facilities";Planejar, organizar, controlar e assessorar todas as áreas da organização. Implementar programas e projetos. Elaborar planejamento organizacional. Promover estudos de racionalização e controle do desempenho organizacional. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
19;Analista Comercial;"Analista Administrativo Comercial; Analista de Indicadores Comerciais; Analista de Processamento de Pedido; Analista de Prospecção; Analista de Suporte Comercial; Analista de Vendas";Elabora planos estratégicos da área comercial da empresa. Negociar com clientes. Elaborar relatórios da área comercial. Analisar mercado. Colaborar no desenvolvimento e implementação de planos estratégicos de vendas. Dar suporte à equipe de vendas. Gestão de CRM (Customer Relationship Management). Acompanhar o desempenho das vendas em relação às metas estabelecidas. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
21;Analista Contábil / Fiscal;"Analista Administrativo de Contabilidade; Analista de Contabilidade; Analista Fiscal";Executar a contabilização, analisar e conciliar contas. Classificar documentos de acordo com o plano de contas da empresa. Conferir os saldos existente das contas, demonstrando-os por natureza contábil. Fazer registros contábeis e escrituração de livros fiscais. Efetuar o cumprimento das normas e políticas que regem a contabilização geral dos negócios da companhia. Analisar, classificar e avaliar as despesas, elaborar balancetes, analisar fechamentos contábeis e relatórios. Analisar e conciliar contas ativo/passivo. Participar da elaboração e conferência do balanço anual. Integrar e fornecer instruções para área de custos, ativo fixo, contas a pagar e planejamento financeiro. Apontar as divergências das reconciliações efetuadas via relatório. Analisar os problemas detectados. Regularizar os problemas via lançamentos contábeis. Entre outras atividades pertinentes ao cargo. Atua na apuração e declaração de impostos diretos e indiretos, realiza escrituração fiscal, atende fiscalizações e participa na análise dos procedimentos fiscais da empresa.;;;;;;;;;;;;;;;;;;;
25;Analista de Atendimento e Suporte;"Analista de Apoio ao Cliente; Analista de Atendimento Bilíngue; Analista de Service Desk; Analista de Suporte a Sistemas; Analista de Suporte ao Cliente; Analista de Suporte ao Usuário; Analista de Suporte LATAM; Atendimento LATAM";Orientar e prestar suporte técnico aos usuários internos e externos. Dimensionar e homologar recursos computacionais (hardware e software) necessários para garantir a perfeita integração e operação no ambiente computacional instalado. Apoiar as atividades de desenvolvimento, manutenção e produção de sistemas, assegurando o funcionamento seguro e contínuo. Disseminar normas, padrões e procedimentos estabelecidos, acompanhando e avaliando a performance dos usuários. Elaborar, implantar e manter programas, facilidades e sistemas de apoio e suporte aos usuários. Promover a melhoria contínua dos serviços de atendimento e suporte. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
903;Analista de Cadastro e Regulamentação;Analista de Assessoria Regulamentar e Cadastro;Organizar, assegurar e atualizar os parâmetros relacionados as regras de negócio, identificar a necessidade de aplicação de novas regras, manter e controlar o registro dos grupos vinculados aos parâmetros operacionais dos sistemas de gestão, garantir o cumprimento da legislação vigente dos Órgãos Regulamentadores, bem como propor e implementar ações de melhorias nos processos da área e manter atualizado os indicadores de controle e desempenho. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
367;Analista de Comércio Exterior;Analista de Importação e Exportação;Realizar operações de comércio internacional para importação e exportação de produtos e serviços. Analisar cenários, tendências, documentação e operações de importação. Sugerir planos de exportação. Realizar análises do mercado internacional de produtos e serviços. Orientar tecnicamente clientes internos e externos sobre procedimentos e normas de importação e exportação. Orientar quanto às práticas de desembaraço aduaneiro. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
136;Analista de Compras;"Analista de Licitações; Analista de Suprimentos";Efetuar compras de materiais e equipamentos, através de requisição de compras e características específicas. Realizar cotação de preços dos produtos a serem adquiridos. Atualizar cadastro de fornecedores e acompanhar o recebimento de materiais verificando o atendimento às especificações. Levantar documentos e especificações para processos licitatórios. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
876;Analista de Custos;"Analista de Formação de Preços; Analista de Precificação";Levantar dados para alocação de custeio da produção, mão-de-obra direta e indireta, matérias-primas e materiais diversos de fabricação. Elaborar relatórios e mapas gerenciais de controle de custos. Efetuar levantamentos de dados para inventários apurando custos, estimativas e avaliações pré-custos destinadas a formação de preços. Analisar documentos contábeis classificando-os conforme plano de contas a fim de alojar corretamente os custos. Preparar documentos e informações do processo de apuração dos custos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1194;Analista de Custos de Importação/Exportação;;Analisar e controlar os custos envolvidos nas operações de importação e exportação, avaliando impostos, fretes, despesas aduaneiras e variações cambiais com o objetivo de assegurar a acuracidade das informações financeiras e subsidiar a tomada de decisões estratégicas que impactam a rentabilidade das transações internacionais da empresa.;;;;;;;;;;;;;;;;;;;
28;Analista de Departamento Pessoal;"Analista Administrativo de Pessoal; Analista de Administração de Pessoal; Analista de DP; Analista de Folha de Pagamento; Analista de Relações Trabalhistas";Processar a folha de pagamento, encargos sociais, cálculo de férias, admissões e demissões, prepara documentos para homologação, garantindo o cumprimento dos procedimentos legais. Realizar calculo orçamentários e provisões de encargos. Garantir a atualização dos cadastros dos funcionários e do controle de ponto. Representar legalmente a empresa nas atividades de homologações. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
829;Analista de E-commerce;Analista de Vendas Online;Elaborar banners e e-mails promocionais, adicionar produtos novos ao site, fotografar e editar fotos de produtos, atender ao telefone, efetuar vendas por telefone, tirar dúvidas dos clientes sobre produtos por e-mail, chat e telefone, zelar pelo bom funcionamento do site, operacionalizar e analisar os resultados das ferramentas de marketing digital. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1084;Analista de Encaixe;"Programador de encaixe; Programador de risco e corte; Riscador de tecidos";"Fazer e revisar os encaixes de produção visando o aproveitamento de matéria prima e redução de custos; Certificar que todos os riscos do molde estejam habilitados. Sinalizar o sentido único para o enfesto. Fazer os apontamentos internos do corte com os devidos ajustes de estoque. Garantir os processos conforme as regras e necessidades internas. Gerar estatísticas e indicadores do setor.";;;;;;;;;;;;;;;;;;;
375;Analista de Engenharia de Produto;"Analista de Engenharia de Produto; Analista de Gestão de Produto; Analista de Novos Produtos; Analista de Produtos e Serviços";Executar testes de produtos. Redigir documentação de especificação de novos produtos. Realizar a atualização das documentações já disponíveis. Participar na concepção e sustentação de produtos, de forma sistemática. Analisar o comportamento da concorrência e tendências de mercado, viabilidade de lançamentos, analisando resultados para identificar novas oportunidades. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
368;Analista de Faturamento;Faturista;Realizar rotinas de apoio a área financeira, visando analisar impostos e emissão de notas fiscais. Desenvolver planilhas de controles de faturamento, controles de receitas e despesas, bem como alimentar informações de faturamento no sistema da empresa. Gerar lançamentos contábeis. Emitir faturas. Registrar e controlar recebimentos. Elaborar relatórios e análises de faturamento. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1193;Analista de Importação;;Atuar na execução dos processos de importação, assegurando o cumprimento das exigências legais e operacionais, acompanhando o desembaraço aduaneiro, controle documental e contato com fornecedores internacionais com o objetivo de garantir a fluidez no recebimento de mercadorias e a disponibilidade de produtos conforme os prazos e padrões estabelecidos pela empresa.;;;;;;;;;;;;;;;;;;;
15;Analista de Infraestrutura de TI;"Analista de Informática; Analista de Infraestrutura Cloud; Analista de Infraestrutura de Sistemas; Analista de Infraestrutura de TI; Analista de Redes; Analista de Suporte Computacional; Analista de Suporte de Infraestrutura";Efetuar a operação e/ou supervisão de computadores servidores, softwares básicos e de apoio, assim como operar equipamentos e sistemas de rede. Participar da homologação de novos serviços e projetos. Prestar assessoria e treinamento operacional na implantação, operação e manutenção de sistemas. Atuar na análise, monitoração e implantação da infraestrutura de TI da empresa. Responsabilizar-se pelo suporte à infraestrutura de Tecnologia da Informação, envolvendo manutenção e configuração de equipamentos e softwares. Atuar na criação e manutenção de serviços e infraestrutura de rede e telefonia, envolvendo configurações de servidores, backups, atualizações, segurança, armazenamento e atendimento de usuários. Realizar pesquisas de novas tecnologias, sugere e implementa melhorias nos processos e serviços internos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
37;Analista de Logística;"Analista de Gestão de Estoque; Analista de Inventário; Analista de Materiais; Analista de Supply Chain; Similar, Analista de CD (centro de distribuição)";Responsável por planejar processos produtivos e logísticos, definindo os recursos necessários, estabelecendo metas e desenvolvendo indicadores de desempenho. Atua na elaboração de projetos logísticos, dimensionando adequadamente os recursos humanos, materiais e operacionais. Acompanha a implantação de novos projetos e controla a execução das atividades, garantindo o cumprimento das metas e a eficiência dos processos produtivos e logísticos.;;;;;;;;;;;;;;;;;;;
42;Analista de Marketing;"Analista de Branding; Analista de Comunicação; Analista de Eventos; Analista de Marca";Estruturar estratégias de projeto. Pesquisar o quadro econômico, político, social e cultural. Analisar mercado. Desenvolver propaganda e promoções. Implantar ações de relações públicas e assessoria de imprensa. Vender produtos, serviços e conceitos. Planejar, analisar e otimizar campanhas de marketing online e offline. Coordenação de eventos. Realizar pesquisas de mercado e analisar comportamento do consumidor para atender as necessidades dos clientes e criar novos produtos ou serviços. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
193;Analista de Mídia Digital;;Planejar, executar e medir a veiculação de campanhas publicitárias nas diversas plataformas de internet (redes sociais, portais e blogs, por exemplo). Acompanhar campanhas e otimizar recursos. Configurar e analisar analytics e atuar em melhorias, emissão e interpretação de relatórios e resultados. Pesquisa de crescimento e oportunidades de mercado.;;;;;;;;;;;;;;;;;;;
306;Analista de Operações;"Analista de Negócios e Operações; Analista Operacional";Efetuar programação e distribuição de serviços de terceiros e facções, fornecendo e recebendo informações sobre produtos e serviços. Analisar indicadores e processo, sugerindo melhorias. Elaborar documentos técnicos e relatórios, cumprindo todo o procedimento necessário referente aos mesmos. Executar e monitorar projetos da área, realizando interface entre áreas envolvidas. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
354;Analista de PCP;Programador de Produção;Realizar rotinas operacionais e de planejamento relativas aos processos de PCP, como geração e emissão de ordens de fabricação e serviço, lista de separação de materiais, definição de mão-de-obra, bem como auxiliar nos registros da qualidade, no suporte operacional ao processo de expedição e a gerência industrial. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
17;Analista de Pesquisa e Desenvolvimento P&D;"Analista de Pesquisa e Desenvolvimento; Analista de Tecnologia e Pesquisa";Desenvolver tecnologias, processos, materiais e produtos. Prestar suporte ao cliente/usuário. Elaborar documentação de tecnologias, ferramentas e materiais. Estabelecer padrões e oferecer soluções. Pesquisar inovações em diversas áreas. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
993;Analista de Planejamento e Controle de Manutenção;;"Realizar controle e programação das manutenções preventivas dos equipamentos; Realizar identificação e controle patrimonial dos equipamentos;
 Atuar na gestão do almoxarifado de peças (controle de inventário) e receber materiais de manutenção; Elaborar planos de manutenção preventiva;
 Realizar inventário cíclicos de estoque dos materiais de manutenção;
 Gerenciar indicadores de manutenção.";;;;;;;;;;;;;;;;;;;
48;Analista de Processos;Analista de Processos de Fabricação;Elaborar soluções para os processos da empresa, permitindo uma gestão mais adequada das atividades. Fazer levantamento de dados. Identificar falhas em cada processo. Desenhar fluxos de tarefas. Identificar oportunidades de melhorias. Apresentar fluxos de trabalho com melhorias implementadas. Criar documentos para gerir os processos. Criar modelos de métodos de controles. Realizar auditorias internas dos fluxos implementados. Criar instruções de trabalho. Realizar o mapeamento dos processos. Realizar o processo de notificação por não conformidade. Revisar processos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
610;Analista de Produção;Analista Industrial;Levantar, analisar e elaborar relatórios gerenciais com indicadores de produção e produtividade. Sugerir e implementar ações de melhoria, visando o aumento da eficiência produtiva e redução de custos. Contribuir em comitês operacionais. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
18;Analista de Projetos;"Analista de Projetos Corporativos; Analista de Projetos de Implantação; Analista de Projetos de Sistema; Analista de Projetos e Consultoria";Planejar, organizar, controlar e assessorar área de projetos. Elaborar, implementar e acompanhar projetos de negócio e do segmento. Elaborar documentação de projetos. Realizar contato com clientes. Agendar implantações, organizar cronograma e lançar dados em sistema de gerenciamento de projetos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
628;Analista de Qualidade;"Analista de Controle da Qualidade; Analista de Gestão da Qualidade; Analista de Gestão Integrada";Definir e levantar dados e informações, garantir a inspeção do recebimento, a organização, o armazenamento e a movimentação de insumos. Auxiliar na verificação de conformidade de processos. Trabalhar de acordo com normas e procedimentos técnicos, de qualidade e de segurança. Promover a distribuição de informações e conhecimentos técnicos específicos da área. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
52;Analista de RH;"Analista Administrativo de RH; Analista de Desenvolvimento Humano e Organizacional; Analista de DHO; Analista de Gente; Analista de Gestão de Pessoas";Efetuar processo de recrutamento e de seleção, gerar plano de benefícios e promover ações de qualidade de vida e assistência aos empregados. Promover ações de treinamento e de desenvolvimento de pessoal. Administrar pessoal e plano de cargos e salários. Administrar relações de trabalho e coordenar sistemas de avaliação de desempenho. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
22;Analista de Sistemas;"Analista de Desenvolvimento; Analista de Programação; Analista Desenvolvedor";Realizar a análise de sistemas informatizados dimensionando requisitos e funcionalidade dos sistemas, especificando sua arquitetura, escolhendo ferramentas de desenvolvimento, especificando programas, codificando aplicativos. Administrar ambiente informatizado, prestar suporte técnico ao cliente, elaborar documentação técnica. Estabelecer padrões, coordenar projetos, oferecer soluções para ambientes informatizados e pesquisar tecnologias em informática. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1026;Analista de Transportes;"Analista de Frota;";"Negociar valores de frete com transportadores; Emissão de relatórios de transportes para análises da gestão; Levantar opções de contratação dos serviços de transportes para análise; Criar indicadores de desempenhos; Monitorar o comportamento dos gastos da organização com os serviços de transportes; Desenvolver análises comparativas entre os modais Aéreo, Aquaviário, Ferroviário e Rodoviário; Elaboração e administração de contratos entre a organização e o prestador de serviços de transportes; Desenvolvimento de novas práticas de transportes.";;;;;;;;;;;;;;;;;;;
16;Analista Financeiro;"Analista de Cobrança; Analista de Contas a Pagar; Analista de Contas a Receber; Analista de Crédito; Analista de Serviços Financeiros";Planejar, organizar, controlar e assessorar a organização na área financeira. Atuar e orientar nas atividades da área financeira da empresa, coordenando os trabalhos, bem como efetuando análises dos sistemas de controles e métodos administrativo e financeiros em geral. Participar do planejamento, organização e controle de fluxos de trabalhos, objetivando racionalizar e otimizar a eficácia das atividades funcionais. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
381;Analista Jurídico;"Analista de Compliance Jurídico;
Analista Legal;
Assessor Jurídico;";Representar a empresa em processos licitatórios, elaborando pareceres jurídicos e promovendo ações oportunas. Gerenciar contratos da empresa através da análise, interpretação e elaboração de cláusulas contratuais, pareceres, notificações e contra-notificações judiciais. Participar da implementação e monitoramento do programa de compliance, controlando e avaliando o cumprimento das políticas de ética e integridade. Avaliar riscos de compliance, como fraudes e subornos, e riscos corporativos, como estratégicos, financeiros e comerciais, propondo ações para mitigação. Contribuir para a segurança jurídica e a conformidade regulatória da empresa, assegurando que todas as operações estejam em conformidade com as leis aplicáveis. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
59;Assistente Administrativo;"Assistente Administrativo de Produção; Assistente Administrativo Financeiro; Assistente de Administração Hospitalar; Assistente de Administração; Assistente de Escritório; Assistente de Serviços Administrativos";Executar serviços de apoio na área administrativa, atendendo pessoas e fornecendo, recebendo e tratando informações relacionadas à sua área de atuação. Tratar documentos variados, cumprindo todos os procedimentos necessários referentes aos mesmos. Organizar e manter arquivos físicos e digitais, organizar agendas e compromissos, realizar controle de estoque de materiais de escritório, dar apoio nos relatórios e apresentações, auxiliar na organização de reuniões e eventos, e realizar tarefas de apoio logístico. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
62;Assistente Comercial;"Assistente Administrativo de Negócios; Assistente Administrativo de Vendas; Assistente de Indicadores Comerciais; Assistente de Pedidos; Assistente de Processamento de Pedidos; Assistente de Propostas Comerciais; Assistente de Vendas";Executar serviços de apoio na área comercial. Atender pessoas, fornecer e receber informações à respeito de sua área de atuação. Tratar documentos variados, cumprindo todo o procedimento necessário referente aos mesmos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
273;Assistente Contábil / Fiscal;"Assistente de Contabilidade; Assistente Fiscal";Apoiar em trabalhos gerais no setor, tais como classificações contábeis com menor grau de dificuldade. Reconciliar contas com menor grau de dificuldade. Registrar lançamentos contábeis. Elaborar relatórios (balancetes, razões, etc.). Realizar o fechamento da movimentação mensal, elaborando relatórios para arquivo. Realizar apuração e declaração de impostos diretos e indiretos e escrituração fiscal, atende fiscalizações e participa na análise dos procedimentos tributários da empresa.Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
565;Assistente de Almoxarifado;;Auxiliar nas tarefas de recebimento, conferência e expedição de produtos e materiais. Auxiliar no controle de estoque. Auxiliar no controle de entradas e saídas de produtos e mercadorias. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
319;Assistente de Atendimento e Suporte;"Apoio ao Cliente;
Apoio ao Usuário;
Apoio ao Usuário de Informática;
Assistente Atendimento ao Cliente;
Assistente de Suporte ao Organizador;
Assistente de Suporte LATAM;
Assitente de Atendimento Bilíngue;
Atendente de Service Desk;
Atendimento Latam;
Auxiliar de Suporte;
Auxiliar de Atendimento;
Help Desk;";Atender usuários, identificando demandas e atuando em nível primário. Direcionar demandas remanescentes, especificando pontos não atendidos. Receber, tratar e documentar os processos da área. Apoiar na execução de atividades e rotinas da área, garantindo a eficiência e a satisfação dos usuários. Auxiliar na manutenção de registros precisos e atualizados, fornecer suporte técnico inicial e colaborar com a equipe para resolver problemas técnicos. Contribuir para a melhoria contínua dos serviços de atendimento e suporte. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
902;Assistente de Cadastro e Regulamentação;Assistente de Assessoria Regulamentar e Cadastro;Acompanhar, conferir e processar a movimentação cadastral de contrato e beneficiários, garantir o cumprimento das carências de acordo com regras internas e legislação vigente, bem como atender e dar andamento às solicitações internas e externas, garantindo o atendimento dos prazos estabelecidos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
489;Assistente de Comércio Exterior;"Assistente de Importação e Exportação;
Auxiliar de Comércio Exterior;";Ajudar nas operações de importação e exportação de produtos e serviços. Levantar e negociar cotações para serviços de logística, assegurando a melhor relação custo-benefício. Levantar e preparar documentos para desembaraço aduaneiro. Monitorar processos alfandegários, fornecendo direcionamentos necessários e garantindo a conformidade com as regulamentações. Apoiar a equipe de comércio exterior em atividades diárias e colaborar na resolução de problemas operacionais. Manter comunicação eficaz com fornecedores, clientes e autoridades aduaneiras. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
67;Assistente de Compras;"Assistente de Licitações; Assistente de Suprimentos";Executar processos, rotinas e procedimentos técnico-administrativos de suporte às operações do setor de compras, suprimentos ou licitações da empresa, por meio da organização, levantamento e monitoramento de dados, informações e documentos, a fim de assegurar o funcionamento das operações em conformidade com o negócio. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
531;Assistente de Engenharia;Assistente de Departamento Técnico;Ajudar na execução das atividades relativas aos projetos de engenharia. Ajudar no monitoramento e controle de indicadores, solicitando suprimentos. Auxiliar no controle de materiais, processos e procedimentos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1196;Assistente de Estilo;Assistente de Estilista;Auxiliar o time de Estilo no desenvolvimento de novas coleções, realizando atividades de apoio à criação e operacionalização, incluindo a pesquisa de tendências, elaboração de fichas técnicas e desenhos técnicos, organização e separação de insumos para a confecção de peças piloto e mostruário, além de acompanhar e dar suporte na liberação de peças para pedidos Private Label;;;;;;;;;;;;;;;;;;;
467;Assistente de Estoque;Assistente de Depósito;Recepcionar, conferir e armazenar materiais no estoque. Fazer os lançamentos da movimentação de entrada e saída e os distribui para expedição. Emitir relatórios para acompanhamento e execução das tarefas. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
387;Assistente de Faturamento;Assistente de Faturista;Apoiar a execução das rotinas à área financeira. Apoiar a analise dos impostos e emissão de notas fiscais Fornecer informações para o desenvolvimento de planilhas de controles de faturamento, controles de receitas e despesas, alimentar informações. Gerar lançamentos contábeis. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
70;Assistente de Logística;"Assistente de Materiais; Assistente de Supply Chain";Participar do desenvolvimento de estudos e implantação de alternativas de logística, visando adequação de prazos e redução de custos. Elaborar roteiros de entrega de materiais, análise de contratos, otimizando os processos de movimentação e armazenagem de materiais e produtos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1083;Assistente de Manutenção;;Apoiar nas atividades de manutenção corretiva e preventiva de instalações, máquinas e equipamentos. Auxiliar na montagem e desmontagem de peças. Testar e inspecionar placas, aparelhos e /ou equipamentos. Organizar e manter o local de trabalho em condições de uso e com componentes, peças e materiais necessários. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
71;Assistente de Marketing;"Assistente de Branding; Assistente de Comunicação; Assistente de Eventos; Assistente de Marca";Realizar análises referentes as atividades de marketing, envolvendo campanhas promocionais, publicitárias e lançamento de produtos. Participar de feiras e exposições, eventos promocionais e institucionais. Auxiliar na criação e produção de material de propaganda e divulgação e providenciar sua distribuição. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
388;Assistente de PCP;;Assistir na rotinas operacionais e de planejamento relativas aos processos de PCP, como geração e emissão de ordens de fabricação e serviço, lista de separação de materiais, definição de mão-de-obra, bem como auxiliar nos registros da qualidade, no suporte operacional ao processo de expedição e a gerência industrial. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
594;Assistente de Pesquisa e Desenvolvimento P&D;"Assistente de Pesquisa e Desenvolvimento; Assistente de Tecnologia e Pesquisa";Apoiar em mapeamento de tecnologias, processos, materiais e produtos. Prestar suporte ao cliente/usuário. Elaborar documentos técnicos. Apoiar na implantação de metodologias, técnicas, ferramentas e processos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
616;Assistente de Produto;"Assistente de Gestão de Produto; Assistente de Novos Produtos; Assistente de Produtos e Serviços;";Escrever documentação de produto e processos. Apoiar a especificação de produtos. Executar atividades da área seguindo processos e metodologias. Executar outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
629;Assistente de Qualidade;"Assistente de Controle de Qualidade; Assistente de Gestão Integrada; Assistente Técnico de Qualidade";Inspecionar e verificar de conformidade de processos. Prestar apoio ao levantando de dados e informações da área. Trabalhar de acordo com normas e procedimentos técnicos, de qualidade e de segurança. Auxiliar na correção de processos. Promover a distribuição de informações e conhecimentos técnicos específicos da área. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
77;Assistente de RH / DP;"Assistente Administrativo de RH; Assistente de Desenvolvimento Humano e Organizacional; Assistente de DHO; Assistente de Gente; Assistente de Gestão de Pessoas";Executar serviços de apoio na área de recursos humanos. Atender pessoas. Fornecer e receber informações à respeito de sua área de atuação. Tratar documentos variados, cumprindo todo o procedimento necessário referente aos mesmos. Ajuda nos processos admissionais, demissionais, montagem de kits para admissão. Participa do recrutamento de candidatos, entrevistas de seleção e dos treinamento de novos colaboradores. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
745;Assistente de Transportes;"Assistente de Frota; Técnico em logística de transporte; Técnico em transporte;";Planejar, executar, coordenar, controlar e fiscalizar as operações de transporte de cargas. Realizar o acondicionamento e movimento de cargas, controle de custos e apoio à gestão operacional. Coordenar processos de acondicionamento, embalagem e movimentação de cargas em diferentes modais de transportes. Organizar sistemas de informação, documentações e arquivos. Colaborar na definição e negociação de tarifas e definição e controle de custos de transportes. Coordenar e fiscalizar atividades de prestação de serviços no transporte de cargas. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
79;Assistente Financeiro;"Assistente de Cobrança; Assistente de Contas a Pagar; Assistente de Contas a Receber; Assistente de Crédito; Assistente de Serviços Financeiros";Executar serviços de apoio na área financeira. Atender pessoas, fornecer e receber informações à respeito de sua área de atuação. Tratar documentos variados, cumprindo todo o procedimento necessário referente aos mesmos. Auxilia no levantamento e acompanhamento das transações financeiras, organiza documento de contas a pagar e a receber e controla fluxo de caixa. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
80;Assistente Jurídico;"Assistente de Compliance Jurídico;
Assistente Legal;";Executar serviços de apoio na área jurídica, acompanhando advogados em audiências e elaborando documentos necessários para processos de licitação. Analisar e redigir contratos, comunicando prazos de vigências contratuais e providenciando renovações. Atender fornecedores e clientes para negociar cláusulas contratuais. Auxiliar na pesquisa jurídica, preparar relatórios e manter registros atualizados. Contribuir para a conformidade regulatória e apoiar na gestão de riscos legais da empresa. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
389;Assistente Técnico de Vendas;"Assistente de Customer Success; Assistente de Relacionamento";Atuar como assessor do cliente, oferecendo atendimento diferenciado e direcionando suas solicitações de forma eficiente e eficaz. Gerir um planejamento de vendas por cliente, mantendo atualizado o cadastro e as informações relevantes para identificar oportunidades de venda. Ou impulsionar as vendas de peças de reposição, manutenção e serviços de assistência técnica, atingindo as metas pré-estabelecidas por meio de um planejamento estratégico orientado ao cliente e ao mercado. . Acompanhar as vendas realizadas mensalmente, comparando o previsto com o realizado, para garantir o cumprimento das metas. Orientar e esclarecer dúvidas dos clientes. Acompanhar o cliente no pós-vendas para manter relacionamentos sólidos e promover sua fidelização.;;;;;;;;;;;;;;;;;;;
83;Auxiliar Administrativo;"Auxiliar Administrativo-Financeiro; Auxiliar de Administração Hospitalar; Auxiliar de Escritório; Auxiliar de Estatística; Auxiliar de Secretaria Escolar";Auxiliar na execução de serviços e atividades da área administrativa. Atender pessoas. Fornecer e receber informações à respeito de sua área de atuação. Tratar documentos variados, cumprindo todo o procedimento necessário referente aos mesmos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
392;Auxiliar de Almoxarifado;;Recepcionar, conferir, armazenar e expedir produtos e materiais, controlando estoques e movimentação de entradas e saídas, conforme demanda da produção. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
495;Auxiliar de Compras;"Auxiliar de Licitações; Auxiliar de Suprimentos";Realizar serviços de apoio para compras de todas as áreas da empresa. Atender fornecedores e clientes. Fornecer e receber informações sobre produtos e serviços. Tratar documentos relativos à área. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
566;Auxiliar de Estoque;Auxiliar de Depósito;Auxiliar no recebimento, conferência e verificação de validades dos produtos. Organizar estoque e armazenar mercadorias. Auxiliar na elaboração de balanços e inventários. Realizar operações de entrada e saída. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
